Dataset Name,Synthesizer Name,Decomposer Name,Parsed Decomposer,Parsed Decomposer Name,Num Train Samples,Num Test Samples,Num Train Epochs,Overall Score,Fitting Time,Decomposition Time,Sampling Time,Column Shapes,Column Pair Trends,Boundary Adherence,Range Coverage,Category Coverage,KS Complement,TV Complement,Statistic Similarity,Correlation Similarity,Contingency Similarity,Table Structure,New Row Synthesis,Metrics Overall Score,Experiment1_YN,Experiment2_YN,Experiment3_YN,Experiment4_YN,Experiment5_YN,Path
covtype,CopulaGANSynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,5000,2000,5,0.98965,12.592544317245483,0.014023542404174805,0.6590657234191895,0.9213218181818181,0.6546940377404429,0.9944818181818181,0.26306880281627926,,0.9262092592592592,0.6574000000000001,,0.9557168733226837,0.14741481481481486,1.0,1.0,0.7430364460493569,Y,N,N,N,N,benchmark_results/PCADecomposition_n_8/CopulaGANSynthesizer/covtype/results.json
asia,TVAESynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,1000,2000,5,,5.559794902801514,0.011311054229736328,0.2914896011352539,0.834386679364503,0.6157857142857143,,,0.875,,0.834386679364503,,,0.6157857142857143,1.0,0.655,0.7960344787300434,N,N,N,Y,N,benchmark_results/PCADecomposition_n_8/TVAESynthesizer/asia/results.json
covtype,TVAESynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,5000,2000,5,0.9924333333333333,10.617293119430542,0.007231712341308594,0.46228480339050293,0.8862763636363638,0.5529556772425865,0.9930272727272728,0.12779811536561145,,0.893488888888889,0.4968,,0.930105776804703,0.09199444444444446,1.0,1.0,0.6916518122788651,Y,Y,Y,Y,Y,benchmark_results/PCADecomposition_n_8/TVAESynthesizer/covtype/results.json
alarm,TVAESynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,1000,2000,5,,6.344385862350464,0.01793646812438965,0.3365507125854492,0.5636812903426217,0.34099249249249247,,,0.7345679012345678,,0.5636812903426217,,,0.34099249249249247,1.0,1.0,0.7278483368139363,N,N,N,Y,N,benchmark_results/PCADecomposition_n_8/TVAESynthesizer/alarm/results.json
adult,TVAESynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,1000,2000,5,,5.197473526000977,0.006220817565917969,0.3145315647125244,0.5798267162542393,0.40823267686148634,0.8426666666666667,0.5648641648480311,0.625030525030525,0.5783333333333333,0.5808223048681768,,0.922895404697071,0.32245555555555555,1.0,1.0,0.7152297727777066,N,N,N,Y,N,benchmark_results/PCADecomposition_n_8/TVAESynthesizer/adult/results.json
mnist12,TVAESynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,1000,2000,5,0.9231111111111111,3.6389966011047363,0.05274844169616699,0.35224246978759766,0.925503448275862,0.8956522668394956,0.9999793103448277,0.4953271028037383,,0.927923611111111,0.577,,0.9565247603725932,0.3351180555555555,1.0,1.0,0.7864841050234782,N,N,N,Y,N,benchmark_results/PCADecomposition_n_8/TVAESynthesizer/mnist12/results.json
insurance,TVAESynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,1000,2000,5,,7.912479877471924,0.011249065399169922,0.30270886421203613,0.599617860552636,0.4062421652421653,,,0.8858333333333335,,0.599617860552636,,,0.4062421652421653,1.0,1.0,0.7783386718256269,N,N,N,Y,N,benchmark_results/PCADecomposition_n_8/TVAESynthesizer/insurance/results.json
covtype,CTGANSynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,5000,2000,5,0.9715166666666666,11.079583406448364,0.014191865921020508,0.452606201171875,0.9466472727288824,0.6584247526374954,0.9879909090909091,0.25337695234909186,,0.9501796296296298,0.75590000008852,,0.9578746058509543,0.1537962962962963,1.0,1.0,0.7573897991631752,Y,N,N,N,N,benchmark_results/PCADecomposition_n_8/CTGANSynthesizer/covtype/results.json
covtype,GaussianCopulaSynthesizer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,5000,2000,5,0.9975666666666667,1.138688325881958,0.006520271301269531,0.20130586624145508,0.9533727272743368,0.6540347610303922,0.9898727272727273,0.24328590373455108,,0.9588444444444446,0.65790000008852,,0.9588993444989763,0.14028148148148153,1.0,1.0,0.7436354876900876,Y,N,N,N,N,benchmark_results/PCADecomposition_n_8/GaussianCopulaSynthesizer/covtype/results.json
asia,REaLTabFormer,PCADecomposition_n_8,"{'base': 'PCADecomposition', 'n_components': 8}",PCADecomposition,5000,2000,5,,449.7793972492218,0.014827489852905273,64.22587561607361,0.9917,0.9872142857142857,,,1.0,,0.9917,,,0.9872142857142857,1.0,0.0,0.7957828571428571,N,N,N,Y,N,benchmark_results/PCADecomposition_n_8/REaLTabFormer/asia/results.json
